21191.8 -22.0717 -13.4347  0.239413 0.274512
17547.1 -6.34788 -9.31134  0.306144 0.275925
20694.4 10.0501 -5.57647  0.247583 0.273473
18079.5 2.04974 31.8306  0.295345 0.27587
17343.6 -1.34819 7.71221  0.310376 0.279789
19905.9 30.2567 -2.875  0.261108 0.274958
18135.2 5.71604 30.6504  0.294237 0.279711
18427.8 12.5961 33.6348  0.288485 0.280429
20401.5 -42.7401 34.8767  0.252523 0.282275
18428.3 10.9657 31.559  0.288476 0.281784
24358.6 16.0622 35.9407  0.193361 0.276412
22825.1 14.1161 35.8407  0.214436 0.276
21720.3 66.1385 27.4603  0.231027 0.274907
23514 21.708 8.64194  0.204698 0.269924
19189.4 23.8069 16.6077  0.274038 0.266628
17979.4 8.80274 8.06332  0.297346 0.267111
21958.3 20.095 -8.53468  0.227349 0.259423
18904.8 29.5856 31.3299  0.27935 0.260089
21440.9 37.6539 29.3301  0.235423 0.256095
20483.6 8.49786 24.2608  0.251129 0.252811
18932.5 -6.21886 24.3024  0.278829 0.254399
16943.4 -16.551 26.5387  0.318868 0.256695
19593.9 -25.7761 29.0445  0.266662 0.256095
16583.1 -10.6401 7.77726  0.326713 0.262942
20105.7 -33.554 19.2827  0.257613 0.261768
19724 -24.5103 -21.2716  0.264331 0.267278
18435.2 -3.60609 14.7708  0.288342 0.272526
16881.7 55.6638 5.3021  0.320199 0.277128
19343.6 21.2486 11.4587  0.271203 0.281117
18582.5 34.3323 32.0133  0.28549 0.283783
18204.3 39.814 29.4511  0.292868 0.28383
17248.5 0.88437 23.7539  0.312374 0.289074
16719.3 17.382 52.689  0.323726 0.290844
21555.2 35.8594 37.8227  0.233616 0.290091
19509.8 18.889 18.9582  0.268179 0.292097
18488.1 -14.9159 17.9653  0.287314 0.293437
17724.8 25.3294 -1.33644  0.302497 0.292056
16278 12.6097 15.603  0.333508 0.295967
17186 -19.4737 -16.6536  0.313693 0.294178
17698.2 -11.2059 12.6552  0.30304 0.29609
20100.3 5.56014 -7.12736  0.257706 0.295949
17524.9 -37.4317 33.7667  0.306604 0.298622
17122.9 -25.7273 8.144  0.315032 0.298193
17708 -4.08289 -14.2826  0.30284 0.299854
17283.3 -25.0245 10.4186  0.311641 0.301702
20364.1 -4.35896 37.2846  0.253162 0.300436
18047.9 -9.66857 30.1281  0.295974 0.301688
15375.7 -33.1848 8.3601  0.354439 0.302401
18480.9 56.1877 -9.63319  0.287453 0.303586
15909.1 -7.15763 -5.02633  0.341912 0.307357
18953.3 20.0464 -5.95613  0.278438 0.30622
15909.5 -36.2549 -4.99497  0.341903 0.309788
18743.9 31.5657 -4.73484  0.2824 0.307398
19898.2 40.4748 -41.4383  0.261244 0.306018
14614.9 7.13966 7.78854  0.373103 0.309997
18288.4 5.65559 -11.4065  0.291211 0.310729
17805.8 -20.6347 10.0819  0.300847 0.311387
17841.4 -19.2568 45.5863  0.300126 0.310958
18510.5 -15.2914 25.6293  0.286881 0.310574
17804.3 11.3829 -0.0133307  0.300879 0.309116
19693.9 -49.1473 6.88998  0.264869 0.308788
22155.6 -35.4038 -8.75822  0.224342 0.305728
22316.4 -7.4105 -12.5813  0.221922 0.298367
20823 24.2839 -4.5612  0.245443 0.296067
16674.6 -14.7365 -8.23896  0.324704 0.292821
20763.9 37.6576 6.74513  0.246424 0.288562
16215.2 37.3559 -0.669213  0.334923 0.286354
19736.6 3.24464 20.826  0.264108 0.281713
16560.1 -25.4983 39.2022  0.327222 0.285849
20438.1 -24.7539 28.4234  0.251901 0.2786
20033.7 37.9037 26.6677  0.258867 0.278304
19352.9 80.371 11.8654  0.271032 0.278292
18425.5 -7.25391 -9.242  0.28853 0.278973
19914.3 37.1313 -4.70277  0.26096 0.279092
14706.1 7.13465 21.924  0.370814 0.284024
17941.7 41.7746 -20.4999  0.298102 0.284239
15769.3 11.2696 15.3168  0.345152 0.290269
15364.8 -8.1587 -9.16451  0.354699 0.296395
17403.3 -17.5294 -18.8606  0.309128 0.300999
16703.3 7.99729 -19.2117  0.324076 0.302129
15453.5 46.2035 16.7492  0.352584 0.31056
18671.4 -12.0066 27.1684  0.283784 0.309337
16469.3 4.28959 -1.57486  0.329233 0.316558
18652.2 9.59099 31.9942  0.284152 0.315401
21170.9 46.9643 60.9849  0.239751 0.315781
15994.3 -10.146 14.2407  0.339953 0.320527
19224.9 -0.635288 25.6714  0.273383 0.318604
17725.7 21.205 -9.25406  0.302478 0.317191
18977.1 36.898 12.173  0.277992 0.316992
23556.1 14.3668 -2.59029  0.204118 0.306274
19622.8 41.3072 -11.2215  0.266143 0.304285
22901.9 81.051 24.8577  0.213328 0.295865
19544.5 46.9536 -5.39611  0.267552 0.28979
19204.8 32.4727 -22.898  0.273753 0.285475
19121.6 -57.2309 9.291  0.275294 0.281516
19161.8 -18.0534 46.6198  0.27455 0.275299
22642.5 19.3434 65.1164  0.217093 0.271089
15437.9 -6.77621 -7.06879  0.352954 0.272317
23447.5 10.3219 3.23434  0.205619 0.265205
16766.1 -2.08393 -24.5442  0.322706 0.271884
19591.8 -8.43255 -30.3629  0.2667 0.267646
19757.7 22.2392 -10.777  0.263731 0.269131
16522.1 52.8304 15.5588  0.328061 0.272422
17776.8 40.3661 -14.6198  0.301436 0.273096
18527.1 17.7545 -37.8787  0.286559 0.278634
18059 1.36273 -13.3242  0.295752 0.280444
23007.6 1.84663 31.5207  0.211812 0.281242
17968.2 -14.3328 10.0571  0.29757 0.284859
17400.5 -12.3405 28.9134  0.309186 0.286738
21183.1 38.8022 23.5713  0.239553 0.284724
22581.8 -11.2724 -30.9032  0.217984 0.281107
